### Instruction,### Human,### Assistant,text
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@Bitdominion @BitcoinDojin @ErikVoorhees There’s going to be bitcoin backed credit cards $mco and others, before you know it",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Bitdominion @BitcoinDojin @ErikVoorhees There’s going to be bitcoin backed credit cards $mco and others, before you know it ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},#Ilovebitcoin because broken #bitcoin miners are easy to fix,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: #Ilovebitcoin because broken #bitcoin miners are easy to fix ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@Dunnestar @ProfFaustus If I buy 1 bitcoin per day and HODL, is that useless?",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Dunnestar @ProfFaustus If I buy 1 bitcoin per day and HODL, is that useless? ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@ProfFaustus @haseebinc @lopp @naval How many more of your dead friend's @bitcoin are you going to sell?,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @ProfFaustus @haseebinc @lopp @naval How many more of your dead friend's @bitcoin are you going to sell? ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Looks like bitcoin is in retrograde again,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Looks like bitcoin is in retrograde again ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},So we're dumping #Bitcoin because @binance (an alt exchange) got a letter from Japanese regulators... Seems legit. BTFD,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: So we're dumping #Bitcoin because @binance (an alt exchange) got a letter from Japanese regulators... Seems legit. BTFD ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Please remind me never to predict BTC again 🙈she’s sefinately a girl, clearing PMS’ing and pissing me off now .#Bitcoin",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Please remind me never to predict BTC again 🙈she’s sefinately a girl, clearing PMS’ing and pissing me off now .#Bitcoin ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},why dont care about bitcoin can i just broke it ill fix it tomorrow i think,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: why dont care about bitcoin can i just broke it ill fix it tomorrow i think ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},My bf is playing Tokyo Xanadu now and he just made the excellent point that Yuuki absolutely fucking mined bitcoin out the ass,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: My bf is playing Tokyo Xanadu now and he just made the excellent point that Yuuki absolutely fucking mined bitcoin out the ass ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},The NSA Spied on Bitcoin Users – Leaked Documents by Snowden Reveal,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: The NSA Spied on Bitcoin Users – Leaked Documents by Snowden Reveal ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Volume Spike triggered for $ethusd Interval 1h  #cryptocurrency #trading #bitcoin #crypto #technicalanalysis,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Volume Spike triggered for $ethusd Interval 1h  #cryptocurrency #trading #bitcoin #crypto #technicalanalysis ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Please remind me never to predict BTC again 🙈she’s definitely a girl, clearly PMS’ing and pissing me off now .Time to grow a pair! #Bitcoin",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Please remind me never to predict BTC again 🙈she’s definitely a girl, clearly PMS’ing and pissing me off now .Time to grow a pair! #Bitcoin ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@CobraBitcoin @Excellion @BitMEXResearch Why do you claim 'BCore altcoin is Bitcoin' on your site?,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @CobraBitcoin @Excellion @BitMEXResearch Why do you claim 'BCore altcoin is Bitcoin' on your site? ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"WHAT ICO'S ARE YOU MOST LOOKING FORWARD TOO

Let me know of some that you are looking at

#Bitcoin #ICO's #ETHEREUM",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: WHAT ICO'S ARE YOU MOST LOOKING FORWARD TOO

Let me know of some that you are looking at

#Bitcoin #ICO's #ETHEREUM ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@CRYPTOCURRENC Give responds by cutting taxes and increase spending, currency devalues bitcoin soars",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @CRYPTOCURRENC Give responds by cutting taxes and increase spending, currency devalues bitcoin soars ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Time to start accepting taxes in #bitcoin @Cityofatlanta—you'd be unlocked in no time ;)

#crypto",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Time to start accepting taxes in #bitcoin @Cityofatlanta—you'd be unlocked in no time ;)

#crypto ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@lucamarra8 @thecryptofam $4M+ worth of XBT - Bitcoin Quanto Futures Contract - long position was liquidated, i.e. the position was lost.",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @lucamarra8 @thecryptofam $4M+ worth of XBT - Bitcoin Quanto Futures Contract - long position was liquidated, i.e. the position was lost. ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Bitcoin This is a great concept for the crypto community,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Bitcoin This is a great concept for the crypto community ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@patribotics I think you're right about bitcoin.  It's overdue for some guidance anyway.,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @patribotics I think you're right about bitcoin.  It's overdue for some guidance anyway. ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"In my heart, I believe bitcoin is ridiculous and that's dandy",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: In my heart, I believe bitcoin is ridiculous and that's dandy ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Headed to the strip club, yo. What part of the G-string do I put the Bitcoin in?",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Headed to the strip club, yo. What part of the G-string do I put the Bitcoin in? ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@aliasvaughn This may be bitcoin bust which indirectly and directly is involved in Trump/Russia.,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @aliasvaughn This may be bitcoin bust which indirectly and directly is involved in Trump/Russia. ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},$8.2k #BTC #BITCOIN is enough dip for me STOP selling,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: $8.2k #BTC #BITCOIN is enough dip for me STOP selling ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},I would love to see Bitcoin Private listed on koinex. #whatsnextonkoinex,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: I would love to see Bitcoin Private listed on koinex. #whatsnextonkoinex ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Breaking News: Binance will be listing WAN( $WAN) soon #cryptocurrency #blockchain #bitcoin #crypto #btc #ico #eth #xrp #trading #CryptoNews,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Breaking News: Binance will be listing WAN( $WAN) soon #cryptocurrency #blockchain #bitcoin #crypto #btc #ico #eth #xrp #trading #CryptoNews ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},There is so much happening in #crypto We are literally changing the world right now #bitcoinminer #bitcoin #btc #bitcoinsfuture,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: There is so much happening in #crypto We are literally changing the world right now #bitcoinminer #bitcoin #btc #bitcoinsfuture ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@TheNvsibleHand Bitcoin is your gold and litecoin is your dollar. Plain and simple,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @TheNvsibleHand Bitcoin is your gold and litecoin is your dollar. Plain and simple ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Bitcoin and all is cool but have you invested in a person that turned out totally worthless.,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Bitcoin and all is cool but have you invested in a person that turned out totally worthless. ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"I guess we're going to revisit the $8115 and $8150 pivots.

God help us if they don't hold. $BTC #BTC #Bitcoin",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: I guess we're going to revisit the $8115 and $8150 pivots.

God help us if they don't hold. $BTC #BTC #Bitcoin ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@marchmadness I’d like somebody to check the refs PayPal, Bitcoin, wallet or whatever the hell they use after the game.",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @marchmadness I’d like somebody to check the refs PayPal, Bitcoin, wallet or whatever the hell they use after the game. ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Optimal tx fee: 0 satoshi per byte. 
BTC : $8399 / €6812 / £5948 @ Block 514751. 
Market Cap: 145.52B USD. #Bitcoin #ビットコイン",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Optimal tx fee: 0 satoshi per byte. 
BTC : $8399 / €6812 / £5948 @ Block 514751. 
Market Cap: 145.52B USD. #Bitcoin #ビットコイン ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@Bitcoin Why have so many attempts to get any kind of significant tx volume on BCash failed?

The Great BCash Failing Debate - A Flatline",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Bitcoin Why have so many attempts to get any kind of significant tx volume on BCash failed?

The Great BCash Failing Debate - A Flatline ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"1 bitcoin = $8451.89 / 6859.976€
1 bitcoin-cash = $972.339 / 789.198€
1 ethereum = $517.33 / 419.89€
#bitcoin #ethereum #bitcoincash",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: 1 bitcoin = $8451.89 / 6859.976€
1 bitcoin-cash = $972.339 / 789.198€
1 ethereum = $517.33 / 419.89€
#bitcoin #ethereum #bitcoincash ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Who wants to fork bitcoin? This site is sold to him,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Who wants to fork bitcoin? This site is sold to him ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Who is selling bitcoin right now? Is there some negative headline or potential news on the horizon?,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Who is selling bitcoin right now? Is there some negative headline or potential news on the horizon? ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"#MAPS has 1 new tx
(📉 output: 0.00115192 BTC / 9.67 USD)
Final balance: 0.00000000 BTC / 0.00 USD
#donation #bitcoin #cryptopaymon 🦄🗿👍",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: #MAPS has 1 new tx
(📉 output: 0.00115192 BTC / 9.67 USD)
Final balance: 0.00000000 BTC / 0.00 USD
#donation #bitcoin #cryptopaymon 🦄🗿👍 ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Bitcoin value: $8421.92,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Bitcoin value: $8421.92 ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Trading crypto is a way of transferring money from the impatient to the patient.

#cryptocurrency  #bitcoin",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Trading crypto is a way of transferring money from the impatient to the patient.

#cryptocurrency  #bitcoin ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@The_GetawayGirl @fuzzlime Get sun then put on sun lotion buy bitcoin.,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @The_GetawayGirl @fuzzlime Get sun then put on sun lotion buy bitcoin. ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},What are the mechanisms/methods you usually use for predicting bitcoin value?,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: What are the mechanisms/methods you usually use for predicting bitcoin value? ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"I stopped checking crypto prices, and r/bitcoin a while back... is everything back to normal yet or is shit still hitting the fan",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: I stopped checking crypto prices, and r/bitcoin a while back... is everything back to normal yet or is shit still hitting the fan ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Fri Mar 23 03:54:01 2018 (17:40)
USD : 8406.46
Wght: 0.42
Blk#: 514752
Size: 1009.1 KB
TXs:  1961
Pool: 44 (0.0 MB)
#bitcoin",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Fri Mar 23 03:54:01 2018 (17:40)
USD : 8406.46
Wght: 0.42
Blk#: 514752
Size: 1009.1 KB
TXs:  1961
Pool: 44 (0.0 MB)
#bitcoin ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Right now i have no idea the price of Bitcoin. Many many hours ago it was 8560. My pediction is 8800, a moderare rally",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Right now i have no idea the price of Bitcoin. Many many hours ago it was 8560. My pediction is 8800, a moderare rally ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},How much price of @Bitcoin will go till July? #Bitcoin,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: How much price of @Bitcoin will go till July? #Bitcoin ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@bitstein The truth hurts, whatever you call him...he’s talking economics behind bitcoin. He is absolutely right.",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @bitstein The truth hurts, whatever you call him...he’s talking economics behind bitcoin. He is absolutely right. ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},New #bitcoin block 00000000000000000008167a540c3d094befe6c9543e2ece27071ab87641581c mined at height 514752.,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: New #bitcoin block 00000000000000000008167a540c3d094befe6c9543e2ece27071ab87641581c mined at height 514752. ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},another night staring at a screen instead of sleeping 😌 u feel me? #bitcoin #teamnosleep,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: another night staring at a screen instead of sleeping 😌 u feel me? #bitcoin #teamnosleep ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},I know this has to be fake but it’s still hilarious. Bitcoin jokes amuse me because of the this is to stupid to be real but yet,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: I know this has to be fake but it’s still hilarious. Bitcoin jokes amuse me because of the this is to stupid to be real but yet ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@humanifold @Blockstream @shesek Sorry, not interested in bitcoin. There are other better coins.",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @humanifold @Blockstream @shesek Sorry, not interested in bitcoin. There are other better coins. ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"bitcoin: dead 
kinzcash: alive",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: bitcoin: dead 
kinzcash: alive ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@DougKass What about all the bitcoin on the sidelines?,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @DougKass What about all the bitcoin on the sidelines? ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Altcoinbuzzio Bitcoin duh,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Altcoinbuzzio Bitcoin duh ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Altcoinbuzzio Bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Altcoinbuzzio Bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Where have you been trading most lately? $crypto #bitcoin,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Where have you been trading most lately? $crypto #bitcoin ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Altcoinbuzzio Bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Altcoinbuzzio Bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Well @Google caused a bear market for crypto. gg everyone. We let a cooperation have the ultimate power over all of us. #bitcoin $BTC,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Well @Google caused a bear market for crypto. gg everyone. We let a cooperation have the ultimate power over all of us. #bitcoin $BTC ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Altcoinbuzzio Bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Altcoinbuzzio Bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@seanhannity Silver and gold, silver and gold #bitcoin",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @seanhannity Silver and gold, silver and gold #bitcoin ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Altcoinbuzzio Bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Altcoinbuzzio Bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"[me, hanging out with a bunch of pretentious hipsters]

“So bitcoin, amiright?”",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: [me, hanging out with a bunch of pretentious hipsters]

“So bitcoin, amiright?” ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@QTRResearch bitcoin is not the same as blockchain. one is a derivative of a system that doesn't need to exist.,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @QTRResearch bitcoin is not the same as blockchain. one is a derivative of a system that doesn't need to exist. ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Altcoinbuzzio Bitcoin. The obvious king,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Altcoinbuzzio Bitcoin. The obvious king ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@aliasvaughn Bitcoin, money laundering, TT, etc. So many to choose from.",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @aliasvaughn Bitcoin, money laundering, TT, etc. So many to choose from. ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Altcoinbuzzio Bitcoin/litecoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Altcoinbuzzio Bitcoin/litecoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Bitfury-Backed Bitcoin Miner Secures Canadian Land Deal...,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Bitfury-Backed Bitcoin Miner Secures Canadian Land Deal... ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Fri Mar 23 03:56:46 2018 (2:45)
USD : 8416.97
Wght: 0.42
Blk#: 514753
Size: 159.6 KB
TXs:  338
Pool: 55 (0.0 MB)
#bitcoin",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Fri Mar 23 03:56:46 2018 (2:45)
USD : 8416.97
Wght: 0.42
Blk#: 514753
Size: 159.6 KB
TXs:  338
Pool: 55 (0.0 MB)
#bitcoin ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@cz_binance Bitcoin is crashing! sell Sell SELL!,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @cz_binance Bitcoin is crashing! sell Sell SELL! ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Altcoinbuzzio Shorting bitcoin until downtrend is confirmed broken (not a joke),Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Altcoinbuzzio Shorting bitcoin until downtrend is confirmed broken (not a joke) ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@bitcoinyuri @Blockstream Sorry, no longer interested in Bitcoin.",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @bitcoinyuri @Blockstream Sorry, no longer interested in Bitcoin. ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
